종목명,현재가,전일비,등락률,매수호가,매도호가,거래량,거래대금,전일거래량,조회일자,종목명_전처리,종목코드_x,매출액,영업이익,당기순이익,영업이익률,순이익률,ROE(지배주주),부채비율,당좌비율,유보율,EPS(원),PER(배),BPS(원),PBR(배),주당배당금(원),시가배당률(%),배당성향(%),시가총액,시가총액순위,상장주식수,액면가l매매단위,외국인한도주식수(A),외국인보유주식수(B),외국인소진율(B/A),투자의견l목표주가,52주최고l최저,PERlEPS(2023.03),추정PERlEPS,PBRlBPS (2023.03),배당수익률,동일업종 PER,동일업종 등락률,종목코드_y,배당수익률l2022.12,PERlEPS(2022.12),PBRlBPS (2022.12),PERlEPS(2023.06),PBRlBPS (2023.06),PERlEPS(2023.05),PBRlBPS (2023.05),배당수익률l2022.11
대성미생물 *,9970.0,70.0,+0.71%,9930.0,9980.0,10891.0,108.0,16097.0,23-08-21,대성미생물,036480,,,,,,,,,,,,,,,,,449  억원,코스닥 1370위,11659319,500원  l  1주,11659319,69173,0.59%,N/A  l  N/A,"6,170  l  3,670",8.23배  l  468원,N/A  l  N/A,"1.15배  l  3,337원",,88.07배,-0.14%,018680,,,,,,,,
우진비앤지 *,1308.0,9.0,+0.69%,1296.0,1308.0,49896.0,65.0,51179.0,23-08-21,우진비앤지,018620,8070.0,2279.0,1835.0,28.24,22.74,,,,,2614.0,286.18,,,,,,"55조  3,734  억원",코스피 4위,71174000,"2,500원  l  1주",71174000,7566908,10.63%,"4.00매수  l  1,071,000","920,000  l  703,000","69.63배  l  11,173원","70.00배  l  11,163원","6.07배  l  128,227원",,88.07배,-0.14%,207940,,,,,,,,
한국파마 *,16090.0,110.0,+0.69%,16090.0,16180.0,11223.0,181.0,22816.0,23-08-21,한국파마,032300,180.0,79.0,66.0,43.77,36.84,,,,,,,,,,,,"4,675  억원",코스닥 155위,57930864,500원  l  1주,57930864,608863,1.05%,N/A  l  N/A,"9,450  l  5,856",21.02배  l  384원,N/A  l  N/A,"4.25배  l  1,901원",,88.07배,-0.14%,099430,0.87%,,,,,,,
유한양행,73800.0,500.0,+0.68%,73900.0,74000.0,326756.0,24379.0,333358.0,23-08-21,유한양행,000100,,,,,,,,,,,,,,,,,"3,143  억원",코스닥 259위,12621492,500원  l  1주,12621492,1013116,8.03%,N/A  l  N/A,"27,250  l  16,100","N/A  l  -4,685원",N/A  l  N/A,"0.65배  l  38,111원",,88.07배,-0.14%,084110,2.01%,,,,,,,
박셀바이오 *,30400.0,200.0,+0.66%,30450.0,30500.0,84759.0,2600.0,88048.0,23-08-21,박셀바이오,323990,,,,,,,,,,,,,,,,,"4,412  억원",코스피 370위,26803285,"1,000원  l  1주",26803285,1317415,4.92%,N/A  l  N/A,"47,200  l  14,380","N/A  l  -1,144원",N/A  l  N/A,"2.45배  l  6,729원",,88.07배,-0.08%,249420,,,,,,,,
서울제약 *,3850.0,25.0,+0.65%,3845.0,3850.0,8173.0,32.0,7543.0,23-08-21,서울제약,018680,3493.0,365.0,243.0,10.44,6.96,,,,,1605.0,177.53,,,,,,"3조  8,189  억원",코스피 83위,12562158,"2,500원  l  1주",12562158,2052934,16.34%,"4.00매수  l  386,765","340,000  l  219,495","35.88배  l  8,472원","33.00배  l  9,347원","4.11배  l  73,927원",,88.07배,-0.14%,128940,0.16%,,,,,,,
삼성바이오로직스,776000.0,5000.0,+0.65%,776000.0,777000.0,27582.0,21491.0,36777.0,23-08-21,삼성바이오로직스,207940,1849.0,165.0,134.0,8.94,7.22,,,,,325.0,42.52,,,,,,"6,349  억원",코스닥 104위,44460000,500원  l  1주,44460000,7825227,17.60%,"4.00매수  l  21,000","19,500  l  13,000","12.13배  l  1,177원","12.00배  l  1,222원","1.25배  l  11,463원",,88.07배,-0.21%,086450,1.26%,,,,,,,
바이오플러스 *,8060.0,50.0,+0.62%,8070.0,8080.0,1337734.0,10735.0,1692436.0,23-08-21,바이오플러스,099430,,,,,,,,,,,,,,,,,772  억원,코스닥 1024위,11898263,500원  l  1주,11898263,219355,1.84%,N/A  l  N/A,"9,800  l  6,000",N/A  l  -468원,N/A  l  N/A,"0.65배  l  9,992원",,88.07배,-0.21%,041910,1.54%,,,,,,,
휴온스글로벌 *,24900.0,150.0,+0.61%,24800.0,24850.0,39677.0,982.0,41539.0,23-08-21,휴온스글로벌,084110,,,,,,,,,,,,,,,,,"3,100  억원",코스피 478위,13900000,"1,000원  l  1주",13900000,467877,3.37%,"4.00매수  l  34,000","28,500  l  19,990",,N/A  l  N/A,,,88.07배,-0.08%,005500,3.59%,"14.16배  l  1,575원","1.08배  l  20,686원",,,,,
일동제약,16480.0,90.0,+0.55%,16530.0,16540.0,103934.0,1736.0,88514.0,23-08-21,일동제약,249420,,,,,,,,,,,,,,,,,786  억원,코스피 936위,33953454,500원  l  1주,33953454,452639,1.33%,N/A  l  N/A,"3,450  l  2,075",10.52배  l  220원,N/A  l  N/A,"0.87배  l  2,665원",,88.07배,-0.14%,017180,,,,,,,,
한미약품,304500.0,1500.0,+0.50%,305000.0,305500.0,36540.0,11258.0,59647.0,23-08-21,한미약품,128940,956.0,105.0,93.0,10.98,9.73,,,,,,,,,,,,"2,665  억원",코스피 520위,27931470,"1,000원  l  1주",27931470,1263244,4.52%,"4.00매수  l  14,000","11,120  l  8,060",9.63배  l  991원,N/A  l  N/A,"0.71배  l  13,449원",,88.07배,-0.14%,000020,1.89%,,,,,,,
동국제약 *,14320.0,70.0,+0.49%,14290.0,14300.0,128270.0,1841.0,115473.0,23-08-21,동국제약,086450,,,,,,,,,,,,,,,,,450  억원,코스피 1135위,92849436,500원  l  1주,92849436,957745,1.03%,N/A  l  N/A,900  l  430,N/A  l  -460원,N/A  l  N/A,"0.48배  l  1,019원",,88.07배,-0.08%,118000,,,,,,,,
에스텍파마 *,6500.0,30.0,+0.46%,6480.0,6500.0,21224.0,138.0,28021.0,23-08-21,에스텍파마,041910,2092.0,125.0,82.0,6.0,3.92,,,,,289.0,114.36,,,,,,1조  340  억원,코스닥 62위,28329891,500원  l  1주,28329891,1032288,3.64%,"4.00매수  l  47,444","42,850  l  27,900","31.25배  l  1,168원","22.00배  l  1,664원","0.89배  l  41,017원",,88.07배,-0.14%,195940,0.88%,,,,,,,
삼진제약,22300.0,100.0,+0.45%,22350.0,22400.0,26022.0,580.0,25464.0,23-08-21,삼진제약,005500,,,,,,,,,,,,,,,,,"3,479  억원",코스닥 223위,138892244,500원  l  1주,138892244,8047256,5.79%,N/A  l  N/A,"2,820  l  1,900",167.00배  l  15원,N/A  l  N/A,"1.86배  l  1,348원",,88.07배,-0.21%,058820,,,,,,,,
파마리서치바이오,22900.0,100.0,+0.44%,22350.0,22900.0,2103.0,48106.0,509.0,23-08-21,파마리서치바이오,217950,,,,,,,,,,,,,,,,,"1,506  억원",코스닥 586위,28464992,500원  l  1주,28464992,343020,1.21%,N/A  l  N/A,"7,190  l  4,965",24.05배  l  220원,N/A  l  N/A,"1.44배  l  3,662원",,88.07배,-0.14%,006620,2.08%,,,,,,,
명문제약,2320.0,10.0,+0.43%,2320.0,2325.0,48121.0,112.0,46299.0,23-08-21,명문제약,017180,,,,,,,,,,,,,,,,,"9,309  억원",코스피 234위,52984990,500원  l  1주,52984990,2018683,3.81%,N/A  l  N/A,"32,000  l  13,500",N/A  l  -672원,N/A  l  N/A,"2.78배  l  6,310원",,88.07배,-0.14%,019170,,,,,,,,
동화약품,9540.0,40.0,+0.42%,9520.0,9530.0,53956.0,515.0,94558.0,23-08-21,동화약품,000020,,,,,,,,,,,,,,,,,561  억원,코스닥 1254위,88970559,500원  l  1주,88970559,3992529,4.49%,N/A  l  N/A,"1,185  l  502",N/A  l  -152원,N/A  l  N/A,1.59배  l  395원,,88.07배,-0.14%,065170,,,,,,,,
더메디팜,488.0,2.0,+0.41%,487.0,488.0,213282.0,103.0,239271.0,23-08-21,더메디팜,118000,,,,,,,,,,,,,,,,,"1,102  억원",코스피 832위,15092967,500원  l  1주,15092967,662817,4.39%,N/A  l  N/A,"9,283  l  6,390",,N/A  l  N/A,,,88.07배,-0.14%,000520,,,,82.02배  l  89원,"0.78배  l  9,331원",,,
HK이노엔 *,36400.0,150.0,+0.41%,36350.0,36450.0,114770.0,4187.0,121915.0,23-08-21,HK이노엔,195940,,,,,,,,,,,,,,,,,455  억원,코스닥 1363위,62354061,100원  l  1주,62354061,512689,0.82%,N/A  l  N/A,"1,164  l  655",,N/A  l  N/A,,,88.07배,-0.14%,204840,,,,N/A  l  -28원,3.17배  l  230원,,,
CMG제약 *,2500.0,10.0,+0.40%,2500.0,2505.0,584261.0,1470.0,1242560.0,23-08-21,CMG제약,058820,,,,,,,,,,,,,,,,,"2,561  억원",코스피 531위,17772946,500원  l  1주,17772946,0,0.00%,N/A  l  N/A,"19,950  l  13,290","10.89배  l  1,323원",N/A  l  N/A,"0.95배  l  15,127원",,88.07배,-0.14%,293480,3.54%,,,,,,,
동구바이오제약 *,5300.0,20.0,+0.38%,5280.0,5290.0,28825.0,153.0,41326.0,23-08-21,동구바이오제약,006620,,,,,,,,,,,,,,,,,"2,913  억원",코스피 497위,13300000,"1,000원  l  1주",13300000,138082,1.04%,N/A  l  N/A,"38,048  l  15,660",,N/A  l  N/A,,,88.07배,-0.14%,003120,18.26%,,,"15.26배  l  1,435원","0.36배  l  60,943원",,,
신풍제약,17570.0,60.0,+0.34%,17550.0,17640.0,414489.0,7343.0,502074.0,23-08-21,신풍제약,019170,,,,,,,,,,,,,,,,,"5,911  억원",코스피 303위,6348913,"5,000원  l  1주",6348913,812463,12.80%,N/A  l  N/A,"109,000  l  76,800","23.37배  l  3,983원",N/A  l  N/A,"0.59배  l  157,578원",,88.07배,-0.08%,000640,1.61%,,,,,,,
비엘팜텍 *,631.0,2.0,+0.32%,630.0,632.0,169781.0,107.0,326106.0,23-08-21,비엘팜텍,065170,,,,,,,,,,,,,,,,,"4,426  억원",코스피 368위,182892731,500원  l  1주,182892731,9605901,5.25%,N/A  l  N/A,"4,060  l  2,200",,N/A  l  N/A,,,88.07배,-0.21%,003520,,,,N/A  l  -114원,5.02배  l  482원,,,
삼일제약,7280.0,20.0,+0.28%,7260.0,7270.0,25888.0,188.0,31393.0,23-08-21,삼일제약,000520,,,,,,,,,,,,,,,,,"3,080  억원",코스닥 265위,21080695,500원  l  1주,21080695,1089453,5.17%,N/A  l  N/A,"32,550  l  13,330",,N/A  l  N/A,,,88.07배,-0.08%,235980,,,,"N/A  l  -2,109원",27.72배  l  527원,,,
지엘팜텍 *,729.0,2.0,+0.28%,723.0,726.0,109085.0,79.0,244986.0,23-08-21,지엘팜텍,204840,,,,,,,,,,,,,,,,,"3,715  억원",코스피 407위,665754689,500원  l  1주,665754689,14177052,2.13%,N/A  l  N/A,732  l  309,39.86배  l  14원,N/A  l  N/A,0.76배  l  730원,,88.07배,-0.21%,003060,,,,,,,,
하나제약,14390.0,40.0,+0.28%,14340.0,14350.0,76251.0,1099.0,20010.0,23-08-21,하나제약,293480,1299.0,110.0,79.0,8.49,6.11,,,,,,,,,,,,"3,712  억원",코스피 410위,21964670,500원  l  1주,21964670,2960264,13.48%,"4.00매수  l  21,000","21,800  l  13,530",,"11.00배  l  1,607원",,,88.07배,-0.21%,003220,2.07%,,,"11.66배  l  1,449원","1.36배  l  12,444원",,,
일성신약,21900.0,50.0,+0.23%,21850.0,21900.0,6259.0,137.0,6783.0,23-08-21,일성신약,003120,,,,,,,,,,,,,,,,,"1,067  억원",코스닥 793위,19083660,500원  l  1주,19083660,109830,0.58%,N/A  l  N/A,"10,450  l  5,500",N/A  l  -940원,N/A  l  N/A,"1.25배  l  4,486원",,88.07배,-0.08%,308080,,,,,,,,
동아쏘시오홀딩스,93200.0,200.0,+0.22%,94200.0,94300.0,7859.0,736.0,5520.0,23-08-21,동아쏘시오홀딩스,000640,,,,,,,,,,,,,,,,,"1,523  억원",코스닥 577위,241058577,500원  l  1주,241058577,2273180,0.94%,N/A  l  N/A,"1,877  l  415",N/A  l  -136원,N/A  l  N/A,1.40배  l  452원,,88.07배,-0.14%,082800,,,,,,,,
영진약품,2415.0,5.0,+0.21%,2420.0,2425.0,183624.0,446.0,238360.0,23-08-21,영진약품,003520,1868.0,177.0,116.0,9.49,6.21,,,,,,,,,,,,135  억원,코스피 1539위,205916,"2,500원  l  1주",205916,253,0.12%,"4.00매수  l  40,667","73,730  l  53,300","42.07배  l  1,557원","27.00배  l  2,470원","6.37배  l  10,285원",,88.07배,-0.14%,001067,0.57%,,,,,,,
메드팩토 *,14610.0,30.0,+0.21%,14630.0,14640.0,150408.0,2229.0,99621.0,23-08-21,메드팩토,235980,,,,,,,,,,,,,,,,,"4,818  억원",코스피 349위,71063049,500원  l  1주,71063049,4140359,5.83%,N/A  l  N/A,"9,880  l  6,120",,N/A  l  N/A,,,88.07배,-0.21%,003000,,,,N/A  l  -61원,"1.79배  l  3,795원",,,
에이프로젠바이오로직스,561.0,1.0,+0.18%,564.0,565.0,8634440.0,4750.0,21469241.0,23-08-21,에이프로젠바이오로직스,003060,739.0,-80.0,-32.0,-10.78,-4.33,,,,,,,,,,,,"5조  8,509  억원",코스피 59위,76784046,500원  l  1주,76784046,4232641,5.51%,"3.17중립  l  77,000","118,000  l  65,200",,-144.00배  l  -530원,,,88.07배,-0.14%,302440,,,,313.58배  l  243원,"3.42배  l  22,288원",,,
대원제약,16950.0,30.0,+0.18%,16930.0,16940.0,206635.0,3483.0,260024.0,23-08-21,대원제약,003220,,,,,,,,,,,,,,,,,96  억원,코스피 1721위,2266930,"1,000원  l  1주",2266930,16840,0.74%,N/A  l  N/A,"9,320  l  4,010",,N/A  l  N/A,,,88.07배,-0.08%,000225,2.60%,,,N/A  l  -386원,"0.69배  l  6,118원",,,
바이젠셀 *,5600.0,10.0,+0.18%,5590.0,5600.0,47985.0,270.0,42807.0,23-08-21,바이젠셀,308080,,,,,,,,,,,,,,,,,"1,265  억원",코스닥 674위,14354920,500원  l  1주,14354920,3263,0.02%,N/A  l  N/A,"11,150  l  7,800",,N/A  l  N/A,,,88.07배,-0.08%,054670,1.13%,,,"6.23배  l  1,413원","1.11배  l  7,909원",,,
비보존 제약 *,633.0,1.0,+0.16%,629.0,631.0,362001.0,229.0,656851.0,23-08-21,비보존 제약,082800,1322.0,133.0,,10.06,,,,,,,,,,,,,"5,204  억원",코스닥 129위,11935549,500원  l  1주,11935549,2679464,22.45%,"4.00매수  l  60,000","46,850  l  27,600","18.83배  l  2,315원",N/A  l  N/A,"1.78배  l  24,533원",,88.07배,-0.14%,243070,1.38%,,,,,,,
JW중외제약2우B,65500.0,100.0,+0.15%,64000.0,65500.0,5.0,0.0,198.0,23-08-21,JW중외제약2우B,001067,,,,,,,,,,,,,,,,,66  억원,코스피 1897위,445080,"2,500원  l  1주",445080,1183,0.27%,N/A  l  N/A,"25,100  l  14,480",,N/A  l  N/A,,,88.07배,-0.14%,007575,1.18%,,,32.55배  l  455원,"1.19배  l  12,478원",,,
부광약품,6790.0,10.0,+0.15%,6790.0,6800.0,33080.0,225.0,74901.0,23-08-21,부광약품,003000,,,,,,,,,,,,,,,,,549  억원,코스닥 1264위,30979827,500원  l  1주,30979827,267043,0.86%,N/A  l  N/A,"2,920  l  1,671",29.03배  l  61원,N/A  l  N/A,"1.03배  l  1,713원",,88.07배,-0.14%,034940,,,,,,,,
SK바이오사이언스,75900.0,100.0,+0.13%,76100.0,76200.0,193352.0,14974.0,219889.0,23-08-21,SK바이오사이언스,302440,,,,,,,,,,,,,,,,,"1,897  억원",코스피 627위,67162079,500원  l  1주,67162079,3514714,5.23%,N/A  l  N/A,"4,195  l  2,460",N/A  l  -393원,N/A  l  N/A,"1.90배  l  1,487원",,88.07배,-0.08%,001360,,,,,,,,
유유제약1우,4220.0,5.0,+0.12%,4250.0,4275.0,12281.0,51.0,29858.0,23-08-21,유유제약1우,000225,,,,,,,,,,,,,,,,,"3,120  억원",코스피 471위,19085664,"2,500원  l  1주",19085664,1389484,7.28%,N/A  l  N/A,"22,800  l  15,100",,N/A  l  N/A,,,88.07배,-0.08%,007570,0.92%,,,35.93배  l  455원,"1.31배  l  12,478원",,,
대한뉴팜 *,8820.0,10.0,+0.11%,8820.0,8830.0,24907.0,219.0,27350.0,23-08-21,대한뉴팜,054670,,,,,,,,,,,,,,,,,786  억원,코스닥 1014위,11986415,500원  l  1주,11986415,244420,2.04%,N/A  l  N/A,"9,980  l  6,490",,N/A  l  N/A,,,88.07배,-0.08%,012790,1.47%,,,6.77배  l  969원,"0.59배  l  11,037원",,,
휴온스 *,43600.0,50.0,+0.11%,43600.0,43650.0,76127.0,3294.0,90522.0,23-08-21,휴온스,243070,,,,,,,,,,,,,,,,,606  억원,코스닥 1193위,29129064,500원  l  1주,29129064,672086,2.31%,N/A  l  N/A,"2,605  l  1,131",N/A  l  -48원,N/A  l  N/A,"1.71배  l  1,215원",,88.07배,-0.21%,052670,,,,,,,,
일양약품우,14810.0,10.0,+0.07%,14660.0,14810.0,228.0,3.0,436.0,23-08-21,일양약품우,007575,,,,,,,,,,,,,,,,,936  억원,코스닥 890위,7088782,500원  l  1주,7088782,3066614,43.26%,N/A  l  N/A,"15,000  l  8,610",,N/A  l  N/A,,,88.07배,-0.14%,106190,0.53%,,,"11.80배  l  1,119원","0.92배  l  14,342원",,,
조아제약 *,1770.0,1.0,+0.06%,1768.0,1769.0,25361.0,45.0,77974.0,23-08-21,조아제약,034940,,,,,,,,,,,,,,,,,"1,404  억원",코스닥 622위,85065562,500원  l  1주,85065562,7051438,8.29%,N/A  l  N/A,"4,110  l  1,441",N/A  l  -249원,N/A  l  N/A,"0.70배  l  2,342원",,88.07배,-0.14%,183490,,,,,,,,
삼성제약,2830.0,0.0,0.00%,2830.0,2835.0,218441.0,617.0,271612.0,23-08-21,삼성제약,001360,,,,,,,,,,,,,,,,,464  억원,코스닥 1350위,21836250,100원  l  1주,21836250,723253,3.31%,N/A  l  N/A,"3,325  l  1,900",N/A  l  -21원,N/A  l  N/A,"1.63배  l  1,306원",,88.07배,-0.08%,187660,,,,,,,,
일양약품,16350.0,0.0,0.00%,16370.0,16380.0,15856.0,260.0,43328.0,23-08-21,일양약품,007570,,,,,,,,,,,,,,,,,"1,077  억원",코스닥 788위,14155000,100원  l  1주,14155000,67766,0.48%,N/A  l  N/A,"10,150  l  6,010",N/A  l  -201원,N/A  l  N/A,"1.26배  l  6,041원",,88.07배,-0.21%,377220,,,,,,,,
신일제약 *,6560.0,0.0,0.00%,6560.0,6570.0,44278.0,293.0,43774.0,23-08-21,신일제약,012790,1527.0,118.0,94.0,7.71,6.16,,,,,301.0,62.34,,,,,,"5,362  억원",코스닥 125위,29543558,500원  l  1주,29543558,781547,2.65%,"4.00매수  l  24,667","31,000  l  15,990","15.67배  l  1,158원","15.00배  l  1,189원","1.36배  l  13,380원",,88.07배,-0.08%,200130,1.70%,,,,,,,
제일바이오 *,2080.0,0.0,0.00%,0.0,0.0,0.0,0.0,0.0,23-08-21,제일바이오,052670,,,,,,,,,,,,,,,,,"2,881  억원",코스닥 286위,61107969,500원  l  1주,61107969,23675172,38.74%,N/A  l  N/A,"6,480  l  2,790",N/A  l  -863원,N/A  l  N/A,"2.66배  l  1,775원",,88.07배,-0.21%,334970,,,,,,,,
하이텍팜 *,13230.0,0.0,0.00%,13200.0,13240.0,5255.0,69.0,11991.0,23-08-21,하이텍팜,106190,,,,,,,,,,,,,,,,,"2,065  억원",코스닥 421위,30768766,500원  l  1주,30768766,412553,1.34%,N/A  l  N/A,"8,730  l  6,430",24.49배  l  274원,N/A  l  N/A,"0.73배  l  9,136원",,88.07배,-0.08%,011040,5.96%,,,,,,,
엔지켐생명과학 *,1650.0,0.0,0.00%,1654.0,1656.0,279922.0,468.0,242800.0,23-08-21,엔지켐생명과학,183490,515.0,98.0,,19.03,,,,,,,,,,,,,"1,662  억원",코스닥 527위,6000000,500원  l  1주,6000000,954447,15.91%,"4.00매수  l  40,000","32,300  l  24,250",,N/A  l  N/A,,,88.07배,-0.08%,023910,2.35%,,,"6.27배  l  4,420원","0.69배  l  40,179원",,,
에이디엠코리아 *,2125.0,0.0,0.00%,2115.0,2120.0,73211.0,155.0,125883.0,23-08-21,에이디엠코리아,187660,,,,,,,,,,,,,,,,,"1,073  억원",코스닥 789위,9960000,500원  l  1주,9960000,239519,2.40%,N/A  l  N/A,"17,090  l  9,830",29.43배  l  366원,N/A  l  N/A,"1.08배  l  9,948원",,88.07배,-0.08%,072020,0.93%,,,,,,,
노브메타파마,20500.0,0.0,0.00%,0.0,0.0,0.0,0.0,0.0,23-08-21,노브메타파마,229500,,,,,,,,,,,,,,,,,799  억원,코스피 930위,17032351,"1,000원  l  1주",17032351,254616,1.49%,N/A  l  N/A,"7,000  l  4,380",,N/A  l  N/A,,,88.07배,-0.08%,000220,2.24%,,,N/A  l  -386원,"0.77배  l  6,118원",,,
프롬바이오 *,7600.0,0.0,0.00%,7590.0,7610.0,80358.0,607.0,203920.0,23-08-21,프롬바이오,377220,,,,,,,,,,,,,,,,,"1,012  억원",코스닥 831위,13042420,500원  l  1주,13042420,522180,4.00%,N/A  l  N/A,"10,250  l  7,140",12.20배  l  636원,N/A  l  N/A,"0.57배  l  13,602원",,88.07배,-0.21%,001540,2.84%,,,,,,,
카이바이오텍,23000.0,0.0,0.00%,21000.0,0.0,0.0,0.0,0.0,23-08-21,카이바이오텍,446600,,,,,,,,,,,,,,,,,"1,501  억원",코스피 713위,26100970,"1,000원  l  1주",26100970,1243678,4.76%,N/A  l  N/A,"8,240  l  5,390",,N/A  l  N/A,,,88.07배,-0.14%,002210,,,,205.36배  l  28원,"3.15배  l  1,828원",,,
콜마비앤에이치 *,18140.0,10.0,-0.06%,18110.0,18170.0,75723.0,1381.0,87391.0,23-08-21,콜마비앤에이치,200130,,,,,,,,,,,,,,,,,"3,092  억원",코스피 476위,72508159,500원  l  1주,72508159,1603401,2.21%,N/A  l  N/A,"4,485  l  2,592",9.33배  l  457원,N/A  l  N/A,"2.53배  l  1,687원",,88.07배,-0.21%,096760,2.28%,,,,,,,
프레스티지바이오로직스 *,4720.0,5.0,-0.11%,4685.0,4700.0,118579.0,555.0,181020.0,23-08-21,프레스티지바이오로직스,334970,,,,,,,,,,,,,,,,,"3,281  억원",코스닥 239위,11412356,500원  l  1주,11412356,150091,1.32%,N/A  l  N/A,"50,600  l  24,500",991.38배  l  29원,N/A  l  N/A,"1.98배  l  14,551원",,88.07배,-0.08%,102940,,,,,,,,
경동제약 *,6710.0,10.0,-0.15%,6690.0,6710.0,16371.0,110.0,32437.0,23-08-21,경동제약,011040,,,,,,,,,,,,,,,,,"2,507  억원",코스피 541위,14704872,500원  l  1주,14704872,407621,2.77%,N/A  l  N/A,"24,600  l  15,900",,N/A  l  N/A,,,88.07배,-0.14%,271980,0.29%,,,63.62배  l  268원,"1.47배  l  11,566원",,,
대한약품 *,27650.0,50.0,-0.18%,27600.0,27700.0,13711.0,379.0,25608.0,23-08-21,대한약품,023910,,,,,,,,,,,,,,,,,"1,773  억원",코스닥 492위,13855342,500원  l  1주,13855342,118338,0.85%,N/A  l  N/A,"18,200  l  8,710",N/A  l  -848원,N/A  l  N/A,"4.00배  l  3,201원",,88.07배,-0.14%,365270,,,,,,,,
중앙백신 *,10790.0,20.0,-0.19%,10790.0,10800.0,19517.0,211.0,27305.0,23-08-21,중앙백신,072020,,,,,,,,,,,,,,,,,637  억원,코스닥 1161위,12641883,500원  l  1주,12641883,570612,4.51%,N/A  l  N/A,"7,750  l  4,800",23.12배  l  218원,N/A  l  N/A,"1.41배  l  3,584원",,88.07배,-0.08%,044960,0.79%,,,,,,,
유유제약,4710.0,10.0,-0.21%,4700.0,4705.0,16616.0,78.0,24610.0,23-08-21,유유제약,000220,,,,,,,,,,,,,,,,,812  억원,코스닥 993위,16153162,500원  l  1주,16153162,411030,2.54%,N/A  l  N/A,"7,360  l  4,720",16.77배  l  300원,N/A  l  N/A,"0.61배  l  8,254원",,88.07배,-0.14%,131030,1.99%,,,,,,,
안지오랩,7980.0,20.0,-0.25%,7620.0,7990.0,202.0,1546.0,360.0,23-08-21,안지오랩,251280,454.0,58.0,36.0,12.65,7.92,,,,,157.0,64.6,,,,,,"2,871  억원",코스닥 286위,31761048,500원  l  1주,31761048,1726497,5.44%,"4.00매수  l  17,000","15,400  l  9,020",16.29배  l  555원,N/A  l  N/A,"1.41배  l  6,396원",,88.07배,-0.14%,053030,,,,,,,,
네오이뮨텍 *,2025.0,5.0,-0.25%,2015.0,2020.0,232128.0,472.0,293124.0,23-08-21,네오이뮨텍,950220,2093.0,155.0,106.0,7.41,5.07,,,,,,,,,,,,"6,093  억원",코스피 297위,68690000,500원  l  1주,68690000,4122830,6.00%,"4.00매수  l  13,000","12,950  l  7,440",14.49배  l  612원,N/A  l  N/A,"1.12배  l  7,915원",,88.07배,-0.08%,003850,1.13%,,,,,,,
안국약품 *,7760.0,20.0,-0.26%,7680.0,7730.0,36626.0,283.0,12674.0,23-08-21,안국약품,001540,,,,,,,,,,,,,,,,,"1,115  억원",코스닥 771위,6370000,"1,000원  l  1주",6370000,151772,2.38%,N/A  l  N/A,"19,770  l  13,500","7.18배  l  2,438원",N/A  l  N/A,"0.57배  l  30,453원",,88.07배,-0.21%,009300,2.28%,,,,,,,
동성제약,5750.0,20.0,-0.35%,5750.0,5770.0,15316.0,87.0,24574.0,23-08-21,동성제약,002210,,,,,,,,,,,,,,,,,"2,270  억원",코스닥 381위,22298866,500원  l  1주,22298866,315998,1.42%,N/A  l  N/A,"17,900  l  8,050",N/A  l  -558원,N/A  l  N/A,"4.73배  l  2,153원",,88.07배,-0.14%,293780,,,,,,,,
JW홀딩스,4265.0,15.0,-0.35%,4260.0,4265.0,176300.0,752.0,233374.0,23-08-21,JW홀딩스,096760,,,,,,,,,,,,,,,,,"1,785  억원",코스닥 493위,24482505,500원  l  1주,24482505,146630,0.60%,N/A  l  N/A,"17,050  l  6,290","N/A  l  -1,324원",N/A  l  N/A,"3.42배  l  2,131원",,88.07배,-0.14%,321550,,,,,,,,
코오롱생명과학 *,28700.0,100.0,-0.35%,28700.0,28800.0,15703.0,447.0,9099.0,23-08-21,코오롱생명과학,102940,,,,,,,,,,,,,,,,,573  억원,코스닥 1238위,30027963,100원  l  1주,30027963,396451,1.32%,N/A  l  N/A,"2,595  l  1,505",12.64배  l  151원,N/A  l  N/A,"1.47배  l  1,296원",,88.07배,-0.14%,299170,,,,,,,,
제일약품,17050.0,60.0,-0.35%,17090.0,17120.0,6187.0,105.0,8994.0,23-08-21,제일약품,271980,,,,,,,,,,,,,,,,,956  억원,코스닥 870위,37558368,500원  l  1주,37558368,1693941,4.51%,N/A  l  N/A,"9,132  l  2,305","N/A  l  -1,434원",N/A  l  N/A,"1.15배  l  2,207원",,88.07배,-0.08%,175250,,,,,,,,
큐라클 *,12750.0,50.0,-0.39%,12810.0,12830.0,87321.0,1126.0,124332.0,23-08-21,큐라클,365270,,,,,,,,,,,,,,,,,578  억원,코스닥 1225위,8892384,200원  l  1주,8892384,38031,0.43%,N/A  l  N/A,"10,750  l  5,100",N/A  l  -6원,N/A  l  N/A,"0.69배  l  9,390원",,88.07배,-0.08%,200780,1.54%,,,,,,,
이글벳 *,5030.0,20.0,-0.40%,5030.0,5040.0,23978.0,121.0,34620.0,23-08-21,이글벳,044960,536.0,90.0,64.0,16.79,11.94,,,,,392.0,37.13,,,,,,"2,263  억원",코스피 570위,15834554,"2,500원  l  1주",15834554,644375,4.07%,"4.00매수  l  21,000","15,160  l  11,050","12.58배  l  1,136원",N/A  l  N/A,"1.58배  l  9,057원",,88.07배,-0.08%,234080,3.50%,,,,,,,
