종목코드,탭코드,종목명,현재가,등락구분,전일비,등락률,순자산가치(NAV),3개월수익률,거래량,거래대금(백만),시가총액(억),유형,브랜드,인버스,레버리지,환헤지H
276990,4,KODEX 글로벌로봇(합성),17460,5,-280,-1.58,17474.0,7.3849,5591,97,272,해외 주식,KODEX,False,False,False
279530,2,KODEX 고배당,8715,2,15,0.17,8731.0,-1.8059,1560,13,270,국내 업종/테마,KODEX,False,False,False
385600,2,ACE 2차전지&친환경차액티브,14925,5,-215,-1.42,14932.0,33.9823,83062,1243,269,국내 업종/테마,ACE,False,False,False
385520,2,KODEX K-미래차액티브,10535,5,-5,-0.05,10534.0,10.251,6873,72,269,국내 업종/테마,KODEX,False,False,False
404540,2,TIGER KRX기후변화솔루션,14125,5,-75,-0.53,14119.0,14.4699,912,12,268,국내 업종/테마,TIGER,False,False,False
326230,2,KBSTAR 내수주플러스,7690,5,-20,-0.26,7723.0,-2.5285,2410,18,268,국내 업종/테마,KBSTAR,False,False,False
376410,2,TIGER 탄소효율그린뉴딜,8800,5,-40,-0.45,8814.0,7.9892,311,2,264,국내 업종/테마,TIGER,False,False,False
276650,4,KBSTAR 글로벌4차산업IT(합성 H),22900,2,70,0.31,22974.0,18.4743,1839,42,263,해외 주식,KBSTAR,False,False,True
385590,2,ACE ESG액티브,8120,5,-10,-0.12,8115.0,11.9834,45,0,260,국내 업종/테마,ACE,False,False,False
114470,6,KOSEF 국고채3년,108095,5,-100,-0.09,108102.0,-0.1698,1,0,259,채권,KOSEF,False,False,False
138520,2,TIGER 삼성그룹펀더멘털,11750,5,-5,-0.04,11779.0,8.1914,5400,63,259,국내 업종/테마,TIGER,False,False,False
332610,6,ARIRANG 미국단기우량회사채,107645,2,530,0.49,107483.0,-3.4914,76,8,258,채권,ARIRANG,False,False,False
395160,2,KODEX Fn시스템반도체,9540,5,-105,-1.09,9548.0,18.4889,29197,279,258,국내 업종/테마,KODEX,False,False,False
400590,4,SOL 글로벌탄소배출권선물IHS(합성),12875,5,-285,-2.17,12906.0,0.3048,1468,18,258,해외 주식,SOL,False,False,False
438320,4,TIGER 차이나항셍테크레버리지(합성 H),9060,5,-120,-1.31,9127.0,27.9442,14144,127,257,해외 주식,TIGER,False,True,True
440340,7,TIGER 글로벌멀티에셋TIF액티브,9490,2,10,0.11,9503.0,-1.7413,2950,27,256,기타,TIGER,False,False,False
412570,2,TIGER KRX2차전지K-뉴딜레버리지,12790,5,-405,-3.07,12848.0,31.163,54341,699,256,국내 업종/테마,TIGER,False,True,False
269420,4,KODEX S&P글로벌인프라(합성),13930,5,-165,-1.17,14033.0,-4.6024,653,9,250,해외 주식,KODEX,False,False,False
426150,6,WOORI 대한민국국고채액티브,50455,5,-160,-0.32,50477.0,-1.6325,82,4,246,채권,WOORI,False,False,False
354500,1,ACE 코스닥150,15325,5,-165,-1.07,15382.0,18.8795,948,14,245,국내 시장지수,ACE,False,False,False
435420,7,TIGER 미국나스닥100TR채권혼합Fn,11110,5,-20,-0.18,11115.0,3.9215,1260,14,244,기타,TIGER,False,False,False
399110,4,SOL 미국S&P500ESG,11635,2,5,0.04,11642.0,7.3175,7823,91,244,해외 주식,SOL,False,False,False
377990,2,TIGER Fn신재생에너지,10180,2,110,1.09,10194.0,-0.7882,14231,144,244,국내 업종/테마,TIGER,False,False,False
114460,6,ACE 국고채3년,101675,5,-150,-0.15,101675.0,-0.1931,28,2,244,채권,ACE,False,False,False
448540,7,ACE 엔비디아채권혼합블룸버그,14310,5,-80,-0.56,14345.0,17.7577,5006,71,243,기타,ACE,False,False,False
449180,4,KODEX 미국S&P500(H),11025,5,-60,-0.54,11043.0,10.706,6032,66,243,해외 주식,KODEX,False,False,True
252420,3,KBSTAR 200선물인버스2X,2385,2,25,1.06,2388.0,-13.8687,35466,84,241,국내 파생,KBSTAR,True,False,False
114100,6,KBSTAR 국고채3년,107510,5,-245,-0.23,107578.0,-0.128,6,0,237,채권,KBSTAR,False,False,False
160580,5,TIGER 구리실물,10040,2,140,1.41,10266.0,-3.7901,25687,258,236,원자재,TIGER,False,False,False
448330,1,KODEX 삼성전자채권혼합Wise,10680,5,-25,-0.23,10693.0,2.5383,1820,19,235,국내 시장지수,KODEX,False,False,False
280930,4,KODEX 미국러셀2000(H),12545,5,-105,-0.83,12583.0,13.6567,949,11,232,해외 주식,KODEX,False,False,True
272570,6,KBSTAR 중장기국공채액티브,100910,5,-25,-0.02,100784.0,-0.7474,1,0,231,채권,KBSTAR,False,False,False
329660,7,KODEX TRF5050,12815,3,0,0.0,12822.0,1.2643,1148,14,231,기타,KODEX,False,False,False
139220,2,TIGER 200 건설,3555,2,25,0.71,3557.0,11.3564,31635,112,230,국내 업종/테마,TIGER,False,False,False
381560,2,HANARO Fn전기&수소차,10170,2,15,0.15,10176.0,9.606,16232,164,229,국내 업종/테마,HANARO,False,False,False
329670,7,KODEX TRF7030,14280,5,-55,-0.38,14263.0,3.0183,705,10,228,기타,KODEX,False,False,False
337140,2,KODEX 코스피대형주,12750,5,-65,-0.51,12764.0,7.2384,64,0,217,국내 업종/테마,KODEX,False,False,False
261120,7,TIGER 미국달러선물인버스2X,6985,5,-55,-0.78,6993.0,7.6452,9752,68,217,기타,TIGER,True,False,False
237370,7,KODEX 배당성장채권혼합,11855,5,-35,-0.29,11883.0,1.4072,25356,300,213,기타,KODEX,False,False,False
252400,3,KBSTAR 200선물레버리지,16415,5,-200,-1.2,16391.0,15.7839,701,11,213,국내 파생,KBSTAR,False,True,False
304770,1,HANARO 코스닥150,15200,5,-145,-0.94,15320.0,18.1293,1017,15,213,국내 시장지수,HANARO,False,False,False
397410,6,KBSTAR 국채선물5년추종인버스,55445,2,185,0.33,55454.0,2.3807,15,0,210,채권,KBSTAR,True,False,False
250730,4,KBSTAR 차이나HSCEI(H),8050,5,-60,-0.74,8106.0,3.115,188,1,209,해외 주식,KBSTAR,False,False,True
448570,1,FOCUS AI코리아액티브,12305,5,-105,-0.85,12303.0,12.9208,35,0,209,국내 시장지수,FOCUS,False,False,False
409810,4,KODEX 미국나스닥100선물인버스(H),9710,2,40,0.41,9695.0,-15.7299,29027,282,209,해외 주식,KODEX,True,False,True
219390,4,KBSTAR 미국S&P원유생산기업(합성 H),6500,2,5,0.08,6556.0,14.1476,49611,323,208,해외 주식,KBSTAR,False,False,True
282000,3,KBSTAR 국고채3년선물인버스,107245,2,185,0.17,107246.0,1.6859,1,0,207,국내 파생,KBSTAR,True,False,False
210780,2,TIGER 코스피고배당,13110,2,5,0.04,13141.0,-0.2209,917,11,205,국내 업종/테마,TIGER,False,False,False
261070,2,TIGER 코스닥150바이오테크,7510,5,-60,-0.79,7516.0,-0.7864,27746,208,204,국내 업종/테마,TIGER,False,False,False
445910,2,TIGER MKF배당귀족,11850,2,35,0.3,11865.0,9.7436,4788,56,201,국내 업종/테마,TIGER,False,False,False
300950,2,KODEX 게임산업,7075,5,-35,-0.49,7090.0,-13.8704,25977,181,198,국내 업종/테마,KODEX,False,False,False
446690,4,KODEX 아시아반도체공급망exChina액티브,12990,5,-240,-1.81,13084.0,27.8755,1821,23,195,해외 주식,KODEX,False,False,False
277540,4,ACE 아시아TOP50S&P,12970,3,0,0.0,12948.0,3.5528,7,0,195,해외 주식,ACE,False,False,False
211900,2,KODEX 배당성장,13330,2,10,0.08,13332.0,4.3069,336,4,193,국내 업종/테마,KODEX,False,False,False
447620,7,SOL 미국TOP5채권혼합40 Solactive,11315,5,-20,-0.18,11263.0,7.5426,6779,76,192,기타,SOL,False,False,False
237350,1,KODEX 코스피100,27115,5,-185,-0.68,27108.0,8.6134,431,11,190,국내 시장지수,KODEX,False,False,False
364990,2,TIGER KRX게임K-뉴딜,5290,5,-25,-0.47,5271.0,-14.3433,22832,119,188,국내 업종/테마,TIGER,False,False,False
453330,4,KBSTAR 미국S&P500(H),11585,5,-80,-0.69,11624.0,11.1269,1957,22,185,해외 주식,KBSTAR,False,False,True
137610,5,TIGER 농산물선물Enhanced(H),7395,5,-10,-0.14,7413.0,1.5078,2446,18,185,원자재,TIGER,False,False,True
396520,4,TIGER 차이나반도체FACTSET,6070,2,15,0.25,6158.0,-12.3734,3242,19,182,해외 주식,TIGER,False,False,False
434060,7,KODEX TDF2050액티브,11360,5,-45,-0.39,11370.0,3.1193,5426,61,182,기타,KODEX,False,False,False
407820,2,에셋플러스 코리아플랫폼액티브,7435,5,-25,-0.34,7434.0,4.2627,69,0,178,국내 업종/테마,에셋플러스,False,False,False
