종목명,현재가,전일비,등락률,매수호가,매도호가,거래량,거래대금,전일거래량,조회일자,매출액,영업이익,당기순이익,영업이익률,순이익률,EPS(원)_x,PER(배)_x,상장주식수,외국인한도주식수(A),외국인보유주식수(B),외국인소진율(B/A),동일업종 PER,동일업종 등락률,종목코드,코스피/코스닥,시가총액(억원),시가총액순위(전처리),52주최고,52주최저,52주차액,52주차액비율,현재-최고가,현재/최고가비율,투자의견,목표주가,매수매도,PER(배)_y,EPS(원)_y,PBR(배),BPS(원),배당수익률%
네오이뮨텍 *,2025.0,5.0,-0.25%,2015.0,2020.0,232128.0,472.0,293124.0,23-08-21,2093.0,155.0,106.0,7.41,5.07,,,68690000,68690000,4122830,6.00%,88.07,-0.08%,003850,코스닥,6093,297,12950,7440,5510,1.7405913978494623,-10925.0,0.15637065637065636,4.0,13000.0,매수,14.49,612,1.12,7915.0,1.13
안국약품 *,7760.0,20.0,-0.26%,7680.0,7730.0,36626.0,283.0,12674.0,23-08-21,,,,,,,,6370000,6370000,151772,2.38%,88.07,-0.21%,009300,코스닥,1115,771,19770,13500,6270,1.4644444444444444,-12010.0,0.39251390996459284,,,,7.18,2438,0.57,30453.0,2.28
동성제약,5750.0,20.0,-0.35%,5750.0,5770.0,15316.0,87.0,24574.0,23-08-21,,,,,,,,22298866,22298866,315998,1.42%,88.07,-0.14%,293780,코스피,2270,381,17900,8050,9850,2.2236024844720497,-12150.0,0.32122905027932963,,,,,-558,4.73,2153.0,
JW홀딩스,4265.0,15.0,-0.35%,4260.0,4265.0,176300.0,752.0,233374.0,23-08-21,,,,,,,,24482505,24482505,146630,0.60%,88.07,-0.14%,321550,코스피,1785,493,17050,6290,10760,2.710651828298887,-12785.0,0.2501466275659824,,,,,-1324,3.42,2131.0,
코오롱생명과학 *,28700.0,100.0,-0.35%,28700.0,28800.0,15703.0,447.0,9099.0,23-08-21,,,,,,,,30027963,30027963,396451,1.32%,88.07,-0.14%,299170,코스닥,573,1238,2595,1505,1090,1.7242524916943522,26105.0,11.059730250481696,,,,12.64,151,1.47,1296.0,
제일약품,17050.0,60.0,-0.35%,17090.0,17120.0,6187.0,105.0,8994.0,23-08-21,,,,,,,,37558368,37558368,1693941,4.51%,88.07,-0.08%,175250,코스피,956,870,9132,2305,6827,3.961822125813449,7918.0,1.8670608848007009,,,,,-1434,1.15,2207.0,
큐라클 *,12750.0,50.0,-0.39%,12810.0,12830.0,87321.0,1126.0,124332.0,23-08-21,,,,,,,,8892384,8892384,38031,0.43%,88.07,-0.08%,200780,코스닥,578,1225,10750,5100,5650,2.107843137254902,2000.0,1.186046511627907,,,,,-6,0.69,9390.0,1.54
이글벳 *,5030.0,20.0,-0.40%,5030.0,5040.0,23978.0,121.0,34620.0,23-08-21,536.0,90.0,64.0,16.79,11.94,392.0,37.13,15834554,15834554,644375,4.07%,88.07,-0.08%,234080,코스닥,2263,570,15160,11050,4110,1.371945701357466,-10130.0,0.3317941952506596,4.0,21000.0,매수,12.58,1136,1.58,9057.0,3.5
옵투스제약 *,5030.0,20.0,-0.40%,4995.0,5040.0,30931.0,155.0,26355.0,23-08-21,4175.0,,,,,,,12568464,12568464,1077249,8.57%,88.07,-0.14%,185750,코스닥,1759,212,89700,69700,20000,1.2869440459110473,-84670.0,0.05607580824972129,4.0,104500.0,매수,9.04,9472,1.52,56497.0,1.11
바이넥스 *,9070.0,40.0,-0.44%,9080.0,9090.0,132806.0,1212.0,221836.0,23-08-21,,,,,,,,7929338,7929338,26939,0.34%,88.07,-0.14%,318010,코스닥,711,1098,19050,8500,10550,2.2411764705882353,-9980.0,0.47611548556430444,,,,16.22,553,1.11,8050.0,1.12
